item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names,new_row,search_term
m2170477741,Analoge Minolta Spiegelreflex 505si camera,Prima camera met 28-80mm lens. De lens past ook op de sony alpha spiegelreflexcamera's.,https://images.marktplaats.com/api/v1/listing-mp-p/images/b8/b835d3b4-5fd4-46f3-b655-acd705ceee16?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2170477741,51.772716214752,4.4439194850163,0.0,Ophalen of Verzenden,3 okt 24,Ophalen of Verzenden,G.K.,False,
m2159924875,paxina camera in tas. drgm,Oud exemplaar voor de verzamelaar?,https://images.marktplaats.com/api/v1/listing-mp-p/images/48/48c72ec0-d838-437c-b8f7-c37ea52b1bbf?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2159924875,51.861390941773,4.3752522150246,0.0,Ophalen of Verzenden,19 sep 24,Ophalen of Verzenden,K.,False,
m2145761576,Paxetta prontor's,Zoldervonds. Een paxetta pronto-s camera met prima draagtas. Werking onbekend is voor mij te ingewikkeld. Bieden naar waarden aub.,https://images.marktplaats.com/api/v1/listing-mp-p/images/bc/bc4f6ba0-3b8a-433f-aee8-eec360e45033?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2145761576,50.982965901252,5.8084463533702,0.0,Ophalen of Verzenden,11 aug 24,Ophalen of Verzenden,k,False,
m2159894851,Minolta camera Dynax 4,Minolta dynax 4 met lens af 28-80 zoomde conditie is,https://images.marktplaats.com/api/v1/listing-mp-p/images/be/be6958d6-a0d7-4b84-810a-4a61db4966d7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2159894851,51.861390941773,4.3752522150246,0.0,Ophalen of Verzenden,19 sep 24,Ophalen of Verzenden,K.,False,
m2172491839,Canon A-1 Vintage 35mm Film Camera,Canon a-1 vintage 35mm film camera met canon fd 50mm f/1.8 Lens en nog andere lens - auto panagor tele zoom 1:3.8 85-205Mm. Vintag,https://images.marktplaats.com/api/v1/listing-mp-p/images/2c/2c37f043-b312-4f85-9aa3-6a4cd51286e9?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2172491839,53.211604298554,6.6996589975856,0.0,Ophalen,6 okt 24,Ophalen,ES,False,
m2172293101,Fuijfilm dl290 zoom,Camera is niet getest en sluitingsmechanisme achterkant werk niet meer correct maar waarschijnlijk eenvoudig te herstellen.,https://images.marktplaats.com/api/v1/listing-mp-p/images/cc/cc5789ce-b3a1-4411-805f-91bdedc89666?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2172293101,53.210013687093,6.5775540559617,25.0,Verzenden,6 okt 24,Verzenden,K. Postmus,False,
m2169993929,Camera Kodak EK 100 instant,"Aangeboden een camera, kodak ek 100 instant. Verz.k.k. Adv.2159-978",https://images.marktplaats.com/api/v1/listing-mp-p/images/89/89a0e396-57e5-409d-8958-2d3ac9c27861?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2169993929,52.732819169145,5.1578495873806,0.0,Ophalen of Verzenden,3 okt 24,Ophalen of Verzenden,Jan,False,
m2180233715,Tamron Adaptall-2 (103A) 80-210mm F3.8-4,Breid je mogelijkheden uit met deze vivitar 2x macro focusing teleconverter! Hiermee verdubbel je het bereik van je bestaande lenz,https://images.marktplaats.com/api/v1/listing-mp-p/images/95/95505474-0a6f-46cb-af15-77c3d205e43d?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180233715,52.023833498291,4.7135289586526,50.0,Ophalen of Verzenden,Gisteren,Ophalen of Verzenden,RevoSales,False,
m2176643239,SMC Pentax 55mm  f1.8 - K vatting in goede staat,Mooi en goed standaard objectief van pentax met normale gebruikssporen. Helder glas zonder schimmel e.d. Diafragma en scherpstelli,https://images.marktplaats.com/api/v1/listing-mp-p/images/96/969e8e8d-7d2b-49db-984a-78a8359b7fcc?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176643239,53.280296466197,5.7008242078504,40.0,Ophalen of Verzenden,12 okt 24,Ophalen of Verzenden,Piet Blokland,False,
m2157364268,Zorki 10,Zorki 10 analoge fotocamera werking onbekend,https://images.marktplaats.com/api/v1/listing-mp-p/images/7f/7fd46342-254a-4425-a2e0-46c7d9823f69?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157364268,51.438757840366,5.4434332839131,15.0,Ophalen,12 sep 24,Ophalen,A.k,False,
m2177911387,EXAKTA HS-1 in top staat met boekje flits en tas,"Exakta hs-1 - fabrikant cosina, japan productietijd 1983 lensaansluiting pentax k bajonet (cosina ct1) kopalen metalen bladgleufsl",https://images.marktplaats.com/api/v1/listing-mp-p/images/5a/5a1899a4-2a04-425f-89af-c544bb16a260?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177911387,52.475945883087,4.9210098270215,125.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,willem,False,
m2167705617,Canon EOS 700 camera Body only,"Canon eos 700 camera body only incl. Tas is super staat, net nog eens laten checken bij een canon winkel, hij is helemaal in order",https://images.marktplaats.com/api/v1/listing-mp-p/images/dd/ddc28daf-ea54-4673-8ea6-a95a1913d092?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2167705617,52.387180296165,4.8854023020124,49.0,Ophalen of Verzenden,30 sep 24,Ophalen of Verzenden,N.B.K.,False,
m2132928584,ZENIT B spiegelreflex camera (1973),Mooie russische zenit-b camera uit 1973. De camera is volledig mechanisch en wordt geleverd met de originele tas. Goed werkende go,https://images.marktplaats.com/api/v1/listing-mp-p/images/34/34978470-e2f5-4b28-83b8-1855f9c8d5a9?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2132928584,52.696945261142,6.1900086391971,0.0,Ophalen of Verzenden,4 jul 24,Ophalen of Verzenden,K.H.Brandsma,False,
m2170446463,TE koop aangeboden mooi camera doe gepast bod.,Te koop aangeboden mooi camera doe gepast bod.,https://images.marktplaats.com/api/v1/listing-mp-p/images/05/05b7ce86-ed25-4e23-b9d5-628049c44986?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2170446463,51.961170749133,5.9198716934601,25.0,Ophalen of Verzenden,3 okt 24,Ophalen of Verzenden,A.K.,False,
m2153095325,Zeldzame Fuji Optical PET 35 camera met 45mm 3.5 lens,Fuji optical pet 35 35mm zeldzame camera met fujinar k 45mm 3.5 Lens.,https://images.marktplaats.com/api/v1/listing-mp-p/images/6f/6f4a99dd-bbb1-4788-9579-e66467050660?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2153095325,53.258382870897,6.0461939627848,55.0,Ophalen of Verzenden,1 sep 24,Ophalen of Verzenden,Heiko,False,
m2146395672,K&f concept filter hmc uv 46 MM nieuw nano k,K&f concept filter hmc uv 46 mm nieuw nano k,https://images.marktplaats.com/api/v1/listing-mp-p/images/f2/f25ca84d-0299-4cca-93f9-1e1941a72c19?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2146395672,52.221726742788,5.4801762525439,0.0,Ophalen of Verzenden,13 aug 24,Ophalen of Verzenden,Esther,False,
m2157372282,"Fujica rapid s2,Yashica, petri, ricoh","Fujica s2 , yashica rapid ee 17 petri es auto ricoh ff1 verkocht 15 euro per stuk",https://images.marktplaats.com/api/v1/listing-mp-p/images/93/935f6ea4-32b4-4dcd-bc98-48f92a0186a7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157372282,51.438757840366,5.4434332839131,15.0,Ophalen,12 sep 24,Ophalen,A.k,False,
m2148292187,Canon AL-1,"Beste, ik verkoop deze camera omdat hij niet meer in gebruik is. Geen onzin biedingen sturen in de pb! Specificaties: maker canon ",https://images.marktplaats.com/api/v1/listing-mp-p/images/53/53f9eb8b-5fd4-421b-8eda-63ce9f696279?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2148292187,51.966269065221,6.7261059207329,0.0,Ophalen of Verzenden,18 aug 24,Ophalen of Verzenden,Tom,False,
m2151662969,Diverse instant Polaroid cameras fotocamera jaren 60 70 80,Agfatronic 182c flitser flitslampjes agfa el pmc automatic flash fuji kodak disc4000 pentax espio 135m a3000 meikai praktica ltl 3,https://images.marktplaats.com/api/v1/listing-mp-p/images/ee/eeb8b2f5-a5ab-45f8-97da-c9bf53c69f51?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2151662969,51.612995148725,4.5093777317465,0.0,Ophalen of Verzenden,28 aug 24,Ophalen of Verzenden,K.C.,False,
m2164431845,Ricoh KR-10 vintage camera,Ideale instapcamera voor wie analoge fotografie wil ontdekken. De ricoh kr-10 is eenvoudig in gebruik en biedt alle basisfuncties ,https://images.marktplaats.com/api/v1/listing-mp-p/images/64/64f67d77-9e56-4745-96b2-2f4264899709?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2164431845,52.403959196306,4.9204880081916,35.0,Ophalen of Verzenden,25 sep 24,Ophalen of Verzenden,J,False,
m2149679656,2 camera's Bieden ! mogen voor een klein prijsje weg,2 camera's centia 100 x en een porst 126 s verzenden k.k of ophalen in kollum,https://images.marktplaats.com/api/v1/listing-mp-p/images/91/9153bebb-9fa9-4daa-bb15-54e8fc3fa361?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2149679656,53.280973439562,6.1523182325537,0.0,Ophalen of Verzenden,22 aug 24,Ophalen of Verzenden,G,False,
m2151343708,Voigtlander Vitoret D camera (1963),Voor de verzamelaar: een voigtlander vitoret d camera uit 1963.  Doet het nog goed.  In orginele camera beschermhoes,https://images.marktplaats.com/api/v1/listing-mp-p/images/f2/f21bb518-581f-4861-85ac-3d18b7c4084a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2151343708,52.534873089768,6.0437770484649,25.0,Ophalen,27 aug 24,Ophalen,van  K,False,
m2168914621,TE koop aangeboden mooi camera. doe gepast bod.,Te koop aangeboden mooi camera. Doe gepast bod.,https://images.marktplaats.com/api/v1/listing-mp-p/images/88/880ced44-b824-4037-8580-8cd05ccb2588?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2168914621,51.961170749133,5.9198716934601,25.0,Ophalen of Verzenden,1 okt 24,Ophalen of Verzenden,A.K.,False,
m2150055617,Fuji photo film camera 38mm. Analoog.,Fuji photo film camera. 38Mm. Met tasje/riem met filter lens met gebruiksaanwijzing / garantiebewijs (verlopen uit 1972) kabeltje ,https://images.marktplaats.com/api/v1/listing-mp-p/images/46/4666d8b3-f0df-4fe0-b9e8-69328d6ccf44?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2150055617,51.872864081288,4.487056335655,0.0,Ophalen of Verzenden,23 aug 24,Ophalen of Verzenden,Donkey,False,
m2176345103,Pentax MX + Pentax 50mm f/1.4 lens + nieuwe batterijen,"Zo lang de advertentie hier staat is het product te koop neem foto's op 35mm film in de herfst van familie, vrienden of pittor",https://images.marktplaats.com/api/v1/listing-mp-p/images/28/28f43c74-d5bf-443e-ab11-b3a5a72997b1?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176345103,51.694776886936,3.7425852477311,250.0,Ophalen of Verzenden,11 okt 24,Ophalen of Verzenden,woke LGBTQIA+ propagandist,False,
m2155570118,"✅ Cosina Computer CT-7 & 50/1.8 Prime Lens, Pentax K, GETEST","Cosina computer ct-7 getest , volledig functioneel & 50 mm f 1.8 Cosinon-s ( pentax k ) - in goede staat inclusief cap geen be",https://images.marktplaats.com/api/v1/listing-mp-p/images/71/7145806b-ad6b-4774-892b-83715f945cb1?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2155570118,51.977252739747,5.3472019774787,75.0,Ophalen,7 sep 24,Ophalen,MS Optics,False,
m2151867378,Canon super 105 analoge camera,"Canon prima super 105  met zoom lens 38-105 mm. Geeft storing knipperend letter h, op het display (eerste foto). Knutselaar die he",https://images.marktplaats.com/api/v1/listing-mp-p/images/7a/7a0c08ef-3e9b-4c40-bd29-af1256ccbc01?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2151867378,52.122957162068,5.0314220528312,0.0,Ophalen of Verzenden,28 aug 24,Ophalen of Verzenden,W.Kalkman,False,
m2132865525,Instamatic camera,Inclusief kodak hoesje,https://images.marktplaats.com/api/v1/listing-mp-p/images/d9/d9825191-3c1d-4a34-b32d-46fdc3794118?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2132865525,51.90961469048,4.6055631381716,12.5,Ophalen of Verzenden,3 jul 24,Ophalen of Verzenden,Veerle K,False,
m2149677430,Ricoh informatic camera,Bieden !! Verzenden k.k of ophalen in kollum,https://images.marktplaats.com/api/v1/listing-mp-p/images/00/00f6ed47-3949-4312-8883-548ea4d090cc?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2149677430,53.280973439562,6.1523182325537,0.0,Ophalen of Verzenden,22 aug 24,Ophalen of Verzenden,G,False,
m2141350756,Analoge Camera Samsung Fino 105S,Analoge samsung fino 105s weinig gebruikt. Werking niet getest. Met gebruiksaanwijzing en in tasje. Bieden zichtbaar op marktplaat,https://images.marktplaats.com/api/v1/listing-mp-p/images/a7/a7c75db7-db1b-4eca-bda1-d125b874a237?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2141350756,51.704847831875,5.9881441876736,0.0,Ophalen of Verzenden,29 jul 24,Ophalen of Verzenden,K,False,
m2145919283,Pentax Bellows unit K macrobalg in nieuwstaat,Pentax bellows unit k macrobalg in nieuwstaat,https://images.marktplaats.com/api/v1/listing-mp-p/images/76/76806dfe-8554-4387-a381-90fb09d755e8?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2145919283,52.313549241826,4.9504303253902,40.0,Ophalen of Verzenden,11 aug 24,Ophalen of Verzenden,Anthony,False,
m2136172235,Oude analoge foto camera AGFA in leren hoes verzamelobject,"Deze foto camera is op zolder gevonden. Werking onbekend. Plastickap heeft kleine schade, zie foto's. Ophalen of verzenden. Ve",https://images.marktplaats.com/api/v1/listing-mp-p/images/07/07d8cd8a-aa6b-4aeb-9101-ab3dc00627e8?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2136172235,51.138559596429,6.0013487167031,0.0,Ophalen of Verzenden,13 jul 24,Ophalen of Verzenden,Niek,False,
m2158436593,Spiegelreflex camera Pentax ME F met toebehoren,"Spiegelreflex camera type me f met k bajonet voorzien van: objectief tokina 28-80 mm 1:3,5-4,5 objectief tokina 80-200 mm 1:4,5 te",https://images.marktplaats.com/api/v1/listing-mp-p/images/d4/d40e7c46-8c93-415d-b8c0-2d159a29c577?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2158436593,52.383890469973,5.7790928865702,75.0,Ophalen,15 sep 24,Ophalen,Wijnne,False,
m2173065697,Prachtige AGFA Trolix bakelieten box camera,•   agfa trolix in top staat •   bakeliet is onbeschadigd •   bakelieten box camera •   uit ongeveer 1930 - 19,https://images.marktplaats.com/api/v1/listing-mp-p/images/5b/5bf72907-1970-4e43-88af-47c190daba5c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173065697,51.928719445523,6.0575498347305,60.0,Ophalen of Verzenden,7 okt 24,Ophalen of Verzenden,H e n k,False,
m2147006084,Praktica camera met toebehoren,Praktica camera met toebehoren,https://images.marktplaats.com/api/v1/listing-mp-p/images/ab/ab0ee955-4ee6-42e9-9bad-0bf31f2db30f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2147006084,52.527436470943,6.0750714973055,0.0,Ophalen of Verzenden,15 aug 24,Ophalen of Verzenden,Nath K,False,
m2156537227,Olympus IS-10 analoge foto camera,Olympus analoog camera en 3 rolletjes film de conditie is,https://images.marktplaats.com/api/v1/listing-mp-p/images/8a/8a6d4a80-637f-4179-8b2a-2dc72dce1740?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2156537227,51.505916918585,5.375134279716,100.0,Ophalen of Verzenden,10 sep 24,Ophalen of Verzenden,Dany van K,False,
m2134994750,Canon BF-80 PRIMA camera met camera tas,"Niet gebruikt, zeer goed bf-80 prima camera met camera tas",https://images.marktplaats.com/api/v1/listing-mp-p/images/72/7253096b-a296-4dde-8419-0cfc70045e74?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2134994750,52.077244980794,5.092566015281,0.0,Ophalen,9 jul 24,Ophalen,Esra K,False,
m2168894143,TE koop aangeboden mooi camera. doe gepast bod.,Te koop aangeboden mooi camera. Doe gepast bod.,https://images.marktplaats.com/api/v1/listing-mp-p/images/d1/d13c4ba1-4ba4-4e35-900e-c84ee97ccf28?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2168894143,51.961170749133,5.9198716934601,25.0,Ophalen of Verzenden,1 okt 24,Ophalen of Verzenden,A.K.,False,
m2173523193,TE koop aangeboden mooi camera .minotta autopak 430 TX.,Te koop aangeboden mooi camera .minotta autopak 430 tx.doe gepast bod.,https://images.marktplaats.com/api/v1/listing-mp-p/images/60/60e84c75-8ec7-4cc6-a15a-c686382021e2?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173523193,51.961170749133,5.9198716934601,25.0,Ophalen of Verzenden,7 okt 24,Ophalen of Verzenden,A.K.,False,
m2173811981,Petri spiegelreflexcamera + Petri 35-70mm lens + batterijen,"Zo lang de advertentie hier staat is het product te koop petri mf-101a 35mm film spiegelreflex fotocamera, petri 35-70mm f/3.5-4.5",https://images.marktplaats.com/api/v1/listing-mp-p/images/2b/2b7848b7-87b2-44ad-8bb8-a79c43a1c300?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173811981,51.694776886936,3.7425852477311,65.0,Ophalen of Verzenden,8 okt 24,Ophalen of Verzenden,woke LGBTQIA+ propagandist,False,
m2144435405,Zeiss Ikon Tengor 54/2 boxcamera 6x9 formaat,"Zeiss ikon tengor 54/2 boxcamera uit de 20's/30""s. Voor 120 rolfilm , negatief formaat 6 x9 cm. Werkende sluiter ( 1 tijd",https://images.marktplaats.com/api/v1/listing-mp-p/images/75/7585c446-4284-48b6-b4ed-18735ce94fbf?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2144435405,52.696945261142,6.1900086391971,0.0,Ophalen of Verzenden,7 aug 24,Ophalen of Verzenden,K.H.Brandsma,False,
m2169230743,Perfecte Minolta XG-M spiegelreflex incl. diverse lenzen,"Voor de liefhebber van analoge fotografie. In puntgave staat. Compleet met origineel 50mm f1,7 objectief en met twee kwalitatief u",https://images.marktplaats.com/api/v1/listing-mp-p/images/57/57adc069-4cd0-4bcb-9b24-7d23a5c58069?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2169230743,51.311950867575,5.6084385271448,80.0,Ophalen of Verzenden,2 okt 24,Ophalen of Verzenden,Rudolf,False,
m2136202990,Antieke glasnegatieven cassettes fotoplaten houders,10 antieke fotoplaten houders filmcassettes voor bij de glasnegatieven fotografie het zijn 9 zwarte blikken en 1 koperen bieden is,https://images.marktplaats.com/api/v1/listing-mp-p/images/88/881d8d44-65ba-414f-911c-cb6b4d29f654?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2136202990,51.935492254059,4.4791046802751,0.0,Ophalen of Verzenden,13 jul 24,Ophalen of Verzenden,Leen,False,
m2172694929,Kodak balg camera Regent,• kodak balg camera regent • uit ongeveer 1935 • 10.000 Zijn er gemaakt • dus best wel een uniek model • ,https://images.marktplaats.com/api/v1/listing-mp-p/images/c9/c9265b18-5fa1-4dd4-848b-6a56ceed04a5?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2172694929,51.928719445523,6.0575498347305,50.0,Ophalen of Verzenden,6 okt 24,Ophalen of Verzenden,H e n k,False,
m2161483791,Sincere L-100CM,Een sincere l-100cm vintage camera.,https://images.marktplaats.com/api/v1/listing-mp-p/images/26/2683ce43-c610-4988-9fa0-ed49684610c3?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2161483791,52.385659262178,5.2728423176911,12.0,Ophalen of Verzenden,21 sep 24,Ophalen of Verzenden,K >_< P,False,
m2134349463,Fairchild K-20 luchtcamera,"Ik verkoop een zeer mooi verzamelstuk uit mijn collectie, de fairchild k-20, de camera staat beiend vanwege de bekende hiroshima b",https://images.marktplaats.com/api/v1/listing-mp-p/images/d8/d88c0f99-8800-4d01-b5ad-43a692f3aae3?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2134349463,51.286358112287,4.0327741537612,350.0,Ophalen of Verzenden,8 jul 24,Ophalen of Verzenden,photocam,False,
m2137227214,K2 Instant Camera USA 1977 - 1978,K2 instant camera usa 1977 - 1978 camera en verpakking in goede staat.... De voeding zal na al die jaren niet meer werken. Bieden ,https://images.marktplaats.com/api/v1/listing-mp-p/images/52/52d224af-c43a-4e92-83f2-49651e63566e?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2137227214,52.050272241212,4.3299192366436,30.0,Ophalen of Verzenden,16 jul 24,Ophalen of Verzenden,Marius,False,
m2138278547,Vintage retro Minolta Riva Zoom 125 - 35mm,"De minolta riva zoom 125 is een veelzijdige compacte filmcamera met een zoomlens van 37,5-125 mm. Andere functies zijn onder meer ",https://images.marktplaats.com/api/v1/listing-mp-p/images/64/647ef678-1609-44c6-94b4-e809b40fd6c5?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2138278547,52.366487789813,4.8500984023535,99.0,Ophalen of Verzenden,22 jul 24,Ophalen of Verzenden,K,False,
m2162122845,Ricoh kr5 analoge spiegelreflex camera met 55 mm lens  1:2.2,Ricoh kr5 analoge camera  35 mm camera lens mount : k sluitertijden : 1/8 tot 1/500 + bulbstand. Asa 12 -3200 ( din 12~36 ) flitsc,https://images.marktplaats.com/api/v1/listing-mp-p/images/6f/6f2f30a9-06dc-4a3a-806a-9c25e1d0becc?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2162122845,51.823455689482,4.8886314461872,50.0,Ophalen of Verzenden,22 sep 24,Ophalen of Verzenden,Rsn,False,
m2159666810,Pentax SFXn 35mm film spiegelreflex + date back + grip,Zo lang de advertentie hier staat is het product te koop pentax sfxn body 35mm film spiegelreflex fotocamera met pentax data back ,https://images.marktplaats.com/api/v1/listing-mp-p/images/48/48ea11d9-362b-4059-a268-dfa094e54ddb?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2159666810,51.694776886936,3.7425852477311,35.0,Verzenden,18 sep 24,Verzenden,woke LGBTQIA+ propagandist,False,
m2173098409,PENTAX MG fotocamera + Pentax 50mm f/2 lens + nwe batterijen,"Zo lang de advertentie hier staat is het product te koop neem foto's op 35mm film in de herfst van familie, vrienden of pittor",https://images.marktplaats.com/api/v1/listing-mp-p/images/3f/3f769377-c791-43a7-8025-c895c8160c1a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173098409,51.694776886936,3.7425852477311,90.0,Ophalen of Verzenden,7 okt 24,Ophalen of Verzenden,woke LGBTQIA+ propagandist,False,
m2168067597,Pentax P30 + Pentax 50mm f/2 lens + Pentax flitser + meer,"Zo lang de advertentie hier staat is het product te koop neem foto's op 35mm film in de herfst van familie, vrienden of pittor",https://images.marktplaats.com/api/v1/listing-mp-p/images/c8/c8672b27-9ac9-4916-836b-a986e2126b8b?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2168067597,51.694776886936,3.7425852477311,135.0,Ophalen of Verzenden,30 sep 24,Ophalen of Verzenden,woke LGBTQIA+ propagandist,False,
m2165246223,Cosina CT-1A 35mm film SLR + 50mm f/2 lens + batterijen,"Zo lang de advertentie hier staat is het product te koop cosina ct-1a 35mm film spiegelreflex fotocamera, cosina 50mm f/2 lens en ",https://images.marktplaats.com/api/v1/listing-mp-p/images/d5/d54f95b6-f6ea-4182-8baf-92f3b9d1978d?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2165246223,51.694776886936,3.7425852477311,75.0,Ophalen of Verzenden,26 sep 24,Ophalen of Verzenden,woke LGBTQIA+ propagandist,False,
m2155383228,"✔️ Fujica Rapid S2 , Fujinar-K 28 / 2.8, Japan, 1970",Fujica rapid s2 fujinar-k 28 / 2.8 Lens made in japan  in werkende staat ophalen of portokosten koper,https://images.marktplaats.com/api/v1/listing-mp-p/images/52/52c12bf7-983f-4281-8047-6c21daec1e1a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2155383228,51.981874983968,5.344043683748,40.0,Ophalen,7 sep 24,Ophalen,FOTOSALE   ️,False,
m2157224514,Vintage retro Minolta Riva Zoom 125 - 35mm,"De minolta riva zoom 125 is een veelzijdige compacte filmcamera met een zoomlens van 37,5-125 mm. Andere functies zijn onder meer ",https://images.marktplaats.com/api/v1/listing-mp-p/images/74/74a0affb-48d6-4a8d-9335-0f45bc057a1f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157224514,52.366487789813,4.8500984023535,99.0,Ophalen of Verzenden,12 sep 24,Ophalen of Verzenden,K,False,
m2159345856,Polaroid origineel instructie boekje handleiding fototoestel,Instructieboekje agfa meikai el pmc fuji pentax kodak kleine mini instant fotocamera spiegelreflexcamera compactcamera compact poc,https://images.marktplaats.com/api/v1/listing-mp-p/images/8f/8fa41880-bb85-4ae0-8629-9ef131dd9ab8?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2159345856,51.612995148725,4.5093777317465,30.0,Ophalen of Verzenden,18 sep 24,Ophalen of Verzenden,K.C.,False,
m2139001155,Pet 35 in goede staat,Zeldzame pet 35 in deze staat. Met originele leren beschermtas. Met fujinar-k lens 45 mm 3.5,https://images.marktplaats.com/api/v1/listing-mp-p/images/53/53722cda-f9b9-4c57-aa8e-7ab2f3f575b6?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2139001155,52.175695608063,4.9984603020989,120.0,Ophalen of Verzenden,22 jul 24,Ophalen of Verzenden,ariea322,False,
m2134830526,"Canon EOS 500 met 28-80mm zoom, tas, accesoires","Canon eos 500 met 28-80mm zoom objectief, compleet met tas en accesoires. Boekjes aanwezig, zelfs de aankoopbon zit er nog bij. Al",https://images.marktplaats.com/api/v1/listing-mp-p/images/93/936143c3-6a33-44dd-b955-1e85a2cb6745?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2134830526,53.036890641146,5.6630655866622,50.0,Ophalen,9 jul 24,Ophalen,W.K.,False,
m2179793425,Kiev 60 TTL camera fototoestel,"Dit is de middenformaat kiev 60 ttl voor 120 film, de lens is een volna-3 2.8 / 80 Mm. De losse ttl meter kan ik niet testen omdat",https://images.marktplaats.com/api/v1/listing-mp-p/images/37/37c2fb17-c422-4541-ae65-f3d8f85bd313?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2179793425,52.431904780006,4.6575690697582,0.0,Ophalen of Verzenden,Gisteren,Ophalen of Verzenden,Ron,False,
m2151515479,Paxina vintage analoge camera 6x6 middenformaat,"Paxina met paxanar lens. Sluitertijden b, 1/30 & 1/100. Diafragma 7,7 - 11 - 22. Handmatig scherpstellen. Ontsluiten dmv knop ",https://images.marktplaats.com/api/v1/listing-mp-p/images/4e/4e582463-11cb-4410-aa3e-fd983dc394ae?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2151515479,52.746821990797,5.0636855345744,25.0,Ophalen of Verzenden,27 aug 24,Ophalen of Verzenden,HA,False,
